ID,Created,Name,Description,Playlist URL
306618975cb445678415b3e4ccc0f8a2,2023-10-28T18:44:59Z,Spooky 👻,Its Halloween!,https://open.spotify.com/playlist/4A6t29Q4bEawjkuLYMDn3Q
4a5de4e05cfd4edea98f4d9ca5ee3d2b,2023-10-28T18:44:59Z,Gaming 🎮,Something to listen to while you play.,https://open.spotify.com/playlist/3X01Y9ZKfp1EoVUt6lEuA3
e5b01ea17db4467591a49cd070cb151a,2023-10-28T18:45:00Z,Commuter 🚃🚗,The vibe while you drive (or ride),https://open.spotify.com/playlist/4puzr7lwU9Nl8bTyOH9yzq
0bb79c2f59964f95b9002d96e70b6b1d,2023-10-28T18:45:00Z,Zoned In 🎧,"Your productivity playlist, condensed into 1 song (good luck!)",https://open.spotify.com/playlist/73uW7VZY3wP750M45htwg9
0887b071970a477fa2ddc7abc5dedcb9,2023-10-28T18:45:00Z,On Repeat 🎵🎵🎵,You can listen to this song OVER and OVER and OVER,https://open.spotify.com/playlist/6mnotVGmbzKiYxscyxZqCz
d47f7cd057b749a186062df4b6e9ecc3,2023-10-28T18:45:00Z,Pick me up 🌞,Lets brighten our day a little!,https://open.spotify.com/playlist/52MXtjaDpNn5lsE60E9ajo
989de99e66664ebf9a52cfa8c69ee302,2023-10-28T18:45:00Z,Story Time 📖,A song that tells a story,https://open.spotify.com/playlist/5EEZ93V7DD0Vvb68PMkAFz
ba59c8d7051e42aa81bbd56c83914d7b,2023-10-28T18:45:01Z,mom just doesnt get it,i'm 14 and this is deep,https://open.spotify.com/playlist/7AYvXha59JTwKMZ0XbGjsd
f8c4806ced924e6ea02cc82d8246c5c5,2023-10-28T18:45:01Z,Best of the 00s,Can you capture the essence of the 00s in just 1 song?,https://open.spotify.com/playlist/74Yei8JQNUusvfaIL3cDCw
f86258c1b299498b8beec2437ecb9761,2023-10-28T18:45:01Z,Popularity Contest 👍,Just a song you like,https://open.spotify.com/playlist/2JiWaD5Adl52W2rdGIw3BT
964d2ab8243747e79c307e765f0df84e,2023-10-28T18:45:01Z,Music for the holidays 🎄,,https://open.spotify.com/playlist/1iBXOkIthMyNZ6swioCjcd
cd053761a0a64a538a559bdce092ded8,2023-10-28T18:45:02Z,Patience is a virtue 🧘‍♂️🧘‍♀️,Pick a song at least 5 minutes long,https://open.spotify.com/playlist/2m7tv4AYWWWkQRvtU8oHax
891ee597d71b4309af969abdaa5993ee,2023-10-28T18:45:02Z,Wake up sleepyhead 😴,Music for the morning routine,https://open.spotify.com/playlist/36PkTdwRPgVlxVwtD1AAHH
25ba98fedd1d48f0abd0c54e4ae334f7,2023-10-28T18:45:03Z,Nostalgia bait 🎣,"""Oh this song takes me back""",https://open.spotify.com/playlist/5DtKefJA6SJYNKNtci4xbO
66056796c0f243bb8ebc38cd40fac443,2023-10-28T18:45:03Z,Music for 2050,Ahead of its time,https://open.spotify.com/playlist/2bxAUjFghHOIxeJjuvl9lz
54ef63c753d2429daae094347a434430,2023-10-28T18:45:04Z,From a game / movie / show,Choose a song that comes from (or was made famous by) medium,https://open.spotify.com/playlist/7yfZSfwAHw8e9wwksZIPNs
e319f59aada447b88289e7c0746b2c9e,2023-10-28T18:45:04Z,Dance Jams 💃,Gets you out of your seat! or at least gets your foot tapping,https://open.spotify.com/playlist/1JVqiP9F1Yw1uYytfX2tDO
afbe973d3f124f569e209a32a4002422,2023-10-28T18:45:04Z,Bedtime 💤,Music to help you fall asleep (or just to relax),https://open.spotify.com/playlist/0QQLINp2N0eYVxZfKxCvNJ
6d2baa81d4b04a59847b7591e43b6162,2023-10-28T18:45:05Z,Speedrun 🏃‍♀️💨,Songs under 2 minutes,https://open.spotify.com/playlist/2omL0j0MHTGJbUBtU9Xstn
2c5f4c22b796493392a834983f00d4d2,2023-10-28T18:45:05Z,🤣🤣🤣,Funny songs,https://open.spotify.com/playlist/0xlzEqx70AsBvlMETs5CcI
8915d420942442cd894563754ec9c418,2023-10-28T18:45:05Z,New Jams,Songs released in 2023 or 2024,https://open.spotify.com/playlist/21UaCIVmh4LLmAJ3aQdaX6
9207d9207bc74ab0aa9fffc8344e21b7,2023-10-28T18:45:05Z,Sing-along 🎤,"Verses you never forget, and choruses you just have to join in on.",https://open.spotify.com/playlist/4ImZzmwzhQDTvB6zvjuysz
208e1a6393704dbdb1273e6b939863f8,2023-11-29T23:32:09Z,That special feeling,"
chills, shivers, warmth maybe? submit a song that has given you that indescribable feeling ",https://open.spotify.com/playlist/0Sj2jq2mf7sfg3VPyrgb27
3f380cce484e49ab8f04661544d3d1fc,2024-01-21T03:57:18Z,u probly havnt heard of them,"lesser known artists, deep tracks, songs you don't think we've heard before",https://open.spotify.com/playlist/2YtKDkWM2302BblhAaN0Nn
aef61bffbdd14be980e83b4795c3a480,2024-01-21T03:57:18Z,Born in the wrong generation,a song from before you were born,https://open.spotify.com/playlist/4CSrm77Ea2a6vC9WJP4QYh
4505f071ea1c4a67933e1ccf6103518e,2024-01-21T03:57:18Z,Springtime music ,"Warmer weather, flowering trees, bunnies. its a vibe",https://open.spotify.com/playlist/1rJL3YiOTYDn8FZAl1piuQ
2c6720f7a5c34980b2c6d15a11c3f19f,2024-01-21T03:57:18Z,ME-core,your music vibe,https://open.spotify.com/playlist/3XZVjqLRmCpZIlvYU5V9a0
8cd38f672e634c43921fc6b482679f50,2024-01-21T03:57:18Z,Best of the 10s,That album is 12 years old already?!,https://open.spotify.com/playlist/745dDMC1I3DeLnD0vRGy02
e86eea4e5cb24e27b21d873824616b6d,2024-01-21T03:57:19Z,Pick-me!,Any song you think will rake in the votes,https://open.spotify.com/playlist/1CBB45wsz5bixDa1ZaS8sU
b3ae52f84e8941fd81b0afca36733a32,2024-01-21T03:57:19Z,Nature's Lore,Songs about (or referencing) mother Earth or her wonderful creations,https://open.spotify.com/playlist/2N2xPJ7z9Axgs3U2iPXSvd
901ef39fb273411cb6d402687c2cd975,2024-02-06T04:53:19Z,Make Ben Happy,Songs that Ben will like,https://open.spotify.com/playlist/0AO3C95C9vAB7kXdITWXqC
5cb98d3a78a24d63941d0b7c491022d8,2024-02-06T04:53:19Z,Regifting 🎁,Choose a song from a previous week that you didn't submit.,https://open.spotify.com/playlist/0SDmOrYWF99Jbgqd3yJ9eP
ba34823bf3b2403683cef0d6ea4c0ee8,2024-05-28T15:33:39Z,Embarrassing! 🙉,"Guilty pleasure songs, songs you wish you didn't like, songs by cancelled artists? BE BRAVE this week, submit a song you don't usually want to tell other people you like",https://open.spotify.com/playlist/1tJTt3Hk0pi0BigQdgYijF
fc679ab5c45948d285c6385146ecdcf8,2024-05-28T15:44:57Z,🏳‍🌈,Submit some LGBTQIAA+ music,https://open.spotify.com/playlist/7creVyW09gir8pFYRbYc5X
e8849e158cfb40a685c23626dd05bda6,2024-05-28T15:42:06Z,Genre Week: Rock,Submit a rock song,https://open.spotify.com/playlist/2VNZFJMc7FfueTHydFGtid
b90cae9abc904994adb09be6b41583c2,2024-05-28T15:39:10Z,The rest of the BEST,"Submit a 'deep track' from one of your favorite artists.
""Only real Carl listeners have heard Carl's last adventure Part V""",https://open.spotify.com/playlist/1RbLmCI5OOUE9NNxfZFQpg
ef69668bf01c4f3e91aa00daf980bb15,2024-05-28T15:46:29Z,Did I just submit the song of the summer?,Its hot out. lets get some summer jams,https://open.spotify.com/playlist/4uak85BlTE8PcB37EGZ8lb
