Spotify URI,Voter ID,Created,Points Assigned,Comment,Round ID
spotify:track:1QUXgI2yyMTx88kwQ8dA8Y,f97267c5ec9f4532b3558606bec4cd1a,2023-10-31T19:57:32Z,2,,306618975cb445678415b3e4ccc0f8a2
spotify:track:2h47SG8bNphmicAll4H9RV,f97267c5ec9f4532b3558606bec4cd1a,2023-10-31T19:57:32Z,1,,306618975cb445678415b3e4ccc0f8a2
spotify:track:2TmUt0ofWMa02MdYkKhK4C,f97267c5ec9f4532b3558606bec4cd1a,2023-10-31T19:57:32Z,2,,306618975cb445678415b3e4ccc0f8a2
spotify:track:6FVYwnVrnAEIRnY3bHJb46,f97267c5ec9f4532b3558606bec4cd1a,2023-10-31T19:57:32Z,2,,306618975cb445678415b3e4ccc0f8a2
spotify:track:6KMb33MJ8rY3V5KcJsZ3c0,f97267c5ec9f4532b3558606bec4cd1a,2023-10-31T19:57:32Z,3,,306618975cb445678415b3e4ccc0f8a2
spotify:track:0y1rTPYx9e1fFlP3W9KvpW,f16c8cb7c892491c997f8267e6adb822,2023-10-31T20:23:47Z,2,"great movie, but the song isn't that spooky outside of that context",306618975cb445678415b3e4ccc0f8a2
spotify:track:1sUdq3kWa9dJXHu3eYOUll,f16c8cb7c892491c997f8267e6adb822,2023-10-31T20:23:47Z,0,very 2012 (derogatory),306618975cb445678415b3e4ccc0f8a2
spotify:track:2h47SG8bNphmicAll4H9RV,f16c8cb7c892491c997f8267e6adb822,2023-10-31T20:23:47Z,3,"I had forgotten about this song, good stuff",306618975cb445678415b3e4ccc0f8a2
spotify:track:3tTQ86hxXgjh6pWVlI1gB8,f16c8cb7c892491c997f8267e6adb822,2023-10-31T20:23:47Z,1,what would you call this? is it a polka?,306618975cb445678415b3e4ccc0f8a2
spotify:track:5XemvyG79fcKPl5lgbhplq,f16c8cb7c892491c997f8267e6adb822,2023-10-31T20:23:47Z,2,i am too much of a feminist for this to be spooky,306618975cb445678415b3e4ccc0f8a2
spotify:track:6FVYwnVrnAEIRnY3bHJb46,f16c8cb7c892491c997f8267e6adb822,2023-10-31T20:23:47Z,2,when did they put rock band on spotify?,306618975cb445678415b3e4ccc0f8a2
spotify:track:6KMb33MJ8rY3V5KcJsZ3c0,f16c8cb7c892491c997f8267e6adb822,2023-10-31T20:23:47Z,0,"i like kim petras, it's too bad she's not on this track",306618975cb445678415b3e4ccc0f8a2
spotify:track:0y1rTPYx9e1fFlP3W9KvpW,37ac29814b45431e8a7f8c5933f70f4c,2023-10-31T21:04:02Z,2,,306618975cb445678415b3e4ccc0f8a2
spotify:track:1QUXgI2yyMTx88kwQ8dA8Y,37ac29814b45431e8a7f8c5933f70f4c,2023-10-31T21:04:02Z,1,,306618975cb445678415b3e4ccc0f8a2
spotify:track:1sUdq3kWa9dJXHu3eYOUll,37ac29814b45431e8a7f8c5933f70f4c,2023-10-31T21:04:02Z,1,,306618975cb445678415b3e4ccc0f8a2
spotify:track:2h47SG8bNphmicAll4H9RV,37ac29814b45431e8a7f8c5933f70f4c,2023-10-31T21:04:02Z,2,,306618975cb445678415b3e4ccc0f8a2
spotify:track:5cYyCE4b3T5TdQ3sGg8CYc,37ac29814b45431e8a7f8c5933f70f4c,2023-10-31T21:04:02Z,2,,306618975cb445678415b3e4ccc0f8a2
spotify:track:6FVYwnVrnAEIRnY3bHJb46,37ac29814b45431e8a7f8c5933f70f4c,2023-10-31T21:04:02Z,1,,306618975cb445678415b3e4ccc0f8a2
spotify:track:6KMb33MJ8rY3V5KcJsZ3c0,37ac29814b45431e8a7f8c5933f70f4c,2023-10-31T21:04:02Z,1,,306618975cb445678415b3e4ccc0f8a2
spotify:track:0y1rTPYx9e1fFlP3W9KvpW,ded003ef081743dbb71c97bf27e95c56,2023-11-01T00:43:36Z,3,,306618975cb445678415b3e4ccc0f8a2
spotify:track:2h47SG8bNphmicAll4H9RV,ded003ef081743dbb71c97bf27e95c56,2023-11-01T00:43:36Z,1,,306618975cb445678415b3e4ccc0f8a2
spotify:track:2TmUt0ofWMa02MdYkKhK4C,ded003ef081743dbb71c97bf27e95c56,2023-11-01T00:43:36Z,3,,306618975cb445678415b3e4ccc0f8a2
spotify:track:3tTQ86hxXgjh6pWVlI1gB8,ded003ef081743dbb71c97bf27e95c56,2023-11-01T00:43:36Z,2,,306618975cb445678415b3e4ccc0f8a2
spotify:track:6KMb33MJ8rY3V5KcJsZ3c0,ded003ef081743dbb71c97bf27e95c56,2023-11-01T00:43:36Z,1,,306618975cb445678415b3e4ccc0f8a2
spotify:track:1QUXgI2yyMTx88kwQ8dA8Y,72633bdfdd634d77bb3cafcd68adc205,2023-11-01T00:56:09Z,1,,306618975cb445678415b3e4ccc0f8a2
